project_name,repo_link
"Manaknight Db","https://github.com/vibecodeengineering/mtpdb_frontend"
"Manaknight Db","https://github.com/vibecodeengineering/mtpdb_marketing"
"Manaknight Db","https://github.com/mytechpassport/mtpdb_backend.git"
"Manaknight Site","https://gitea.personalsoftware.space/mkdlabs/mkd_marketings"
"Maryam OCR","https://gitea.personalsoftware.space/mkdlabs/maryam-ocr"
"Millers Auto Recycling","https://gitea.personalsoftware.space/mkdlabs/automiller_backend"
"MouthForm","https://github.com/vibecodeengineering/mouthform-web"
"MouthForm","https://github.com/vibecodeengineering/mouthform-marketing"
"MouthForm","https://gitea.personalsoftware.space/michael/Mouth-Form"
"Neoteric","https://gitea.personalsoftware.space/mkdlabs/neoteric_frontend"
"Nimble","https://gitea.personalsoftware.space/mkdlabs/nimble_ios"
"Nimble","https://gitea.personalsoftware.space/mkdlabs/nimble_frontend"
"Nimble","https://gitea.personalsoftware.space/mkdlabs/nimble_floor_plan"
"Nimble","https://gitea.personalsoftware.space/mkdlabs/nimble_backend"
"nordin","https://gitea.personalsoftware.space/mkdlabs/nordin_frontend"
"nordin","https://gitea.personalsoftware.space/mkdlabs/nordin_prod"
"nordin","https://gitea.personalsoftware.space/mkdlabs/nordin_prod2"
"nordin","https://gitea.personalsoftware.space/mkdlabs/nordin_backend"
"ntervYou","https://gitea.personalsoftware.space/mkdlabs/nterview_backend"
"ntervYou","https://gitea.personalsoftware.space/manaknight/ds_nterview"
"Oil and Gas",""
"Ontario",""
"Peaceful Prep",""
"PMJ","https://gitea.personalsoftware.space/mkdlabs/professormj_prod"
"PMJ","https://gitea.personalsoftware.space/mkdlabs/professormj_frontend"
"PMJ","https://gitea.personalsoftware.space/mkdlabs/professormj_backend"
"Printflow","https://gitea.personalsoftware.space/mkdlabs/printflow_backend"
"Printflow","https://gitea.personalsoftware.space/mkdlabs/printflow_frontend"
"Profit Pro","https://gitea.personalsoftware.space/mkdlabs/profitpro_backend"
"Profit Pro","https://gitea.personalsoftware.space/mkdlabs/profitpro_ios"
"Profit Pro","https://gitea.personalsoftware.space/mkdlabs/profitpro_frontend"
"Profit Pro","https://gitea.personalsoftware.space/mkdlabs/profitproreview_android"
"Property Manager",""
"Qiniruk",""
"QualitySigns","https://gitea.personalsoftware.space/mkdlabs/qualitysign_backend"
"QualitySigns","https://gitea.personalsoftware.space/mkdlabs/qualitysign_frontend"
"QuickBooks","https://gitea.personalsoftware.space/mkdlabs/quickbook_frontend"
"QuickBooks","https://gitea.personalsoftware.space/mkdlabs/quickbook_backend"
"QuickBooks","https://gitea.personalsoftware.space/mkdlabs/ds_quickbooks"
